timestamp,datetime,firmware_version,humidity,temperature,pressure,voc,pm2.5_cf_1
1751880191,2025-07-07T03:23:11-06:00,7.04,26,82,906.7,83,0.0
1751880311,2025-07-07T03:25:11-06:00,7.04,26,82,906.72,82,0.0
1751880431,2025-07-07T03:27:11-06:00,7.04,26,82,906.71,82,0.0
1751880551,2025-07-07T03:29:11-06:00,7.04,26,82,906.7,82,0.0
1751880671,2025-07-07T03:31:11-06:00,7.04,26,82,906.73,82,0.0
1751880791,2025-07-07T03:33:11-06:00,7.04,26,82,906.73,82,0.0
1751880911,2025-07-07T03:35:11-06:00,7.04,26,82,906.76,82,0.0
1751881031,2025-07-07T03:37:11-06:00,7.04,26,82,906.75,81,0.0
1751881151,2025-07-07T03:39:11-06:00,7.04,26,82,906.77,82,0.0
1751881271,2025-07-07T03:41:11-06:00,7.04,26,82,906.77,82,0.0
1751881391,2025-07-07T03:43:11-06:00,7.04,26,82,906.76,82,0.0
1751881511,2025-07-07T03:45:11-06:00,7.04,26,82,906.8,82,0.0
1751881631,2025-07-07T03:47:11-06:00,7.04,26,82,906.8,82,0.0
1751881751,2025-07-07T03:49:11-06:00,7.04,26,82,906.82,82,0.0
1751881871,2025-07-07T03:51:11-06:00,7.04,26,82,906.85,82,0.0
1751881991,2025-07-07T03:53:11-06:00,7.04,26,82,906.87,82,0.0
1751882111,2025-07-07T03:55:11-06:00,7.04,26,82,906.86,81,0.0
1751882231,2025-07-07T03:57:11-06:00,7.04,26,82,906.84,81,0.0
1751882351,2025-07-07T03:59:11-06:00,7.04,26,82,906.83,81,0.0
1751882471,2025-07-07T04:01:11-06:00,7.04,26,82,906.85,81,0.0
1751882591,2025-07-07T04:03:11-06:00,7.04,26,82,906.88,81,0.0
1751882711,2025-07-07T04:05:11-06:00,7.04,26,82,906.85,81,0.0
1751882831,2025-07-07T04:07:11-06:00,7.04,26,82,906.89,80,0.0
1751882951,2025-07-07T04:09:11-06:00,7.04,26,82,906.89,81,0.0
1751883071,2025-07-07T04:11:11-06:00,7.04,26,82,906.92,81,0.0
1751883191,2025-07-07T04:13:11-06:00,7.04,26,82,906.91,81,0.0
1751883311,2025-07-07T04:15:11-06:00,7.04,26,82,906.91,80,0.0
1751883431,2025-07-07T04:17:11-06:00,7.04,26,82,906.91,80,0.0
1751883551,2025-07-07T04:19:11-06:00,7.04,26,82,906.9,81,0.0
1751883672,2025-07-07T04:21:12-06:00,7.04,26,82,906.91,80,0.0
1751883792,2025-07-07T04:23:12-06:00,7.04,26,82,906.92,81,0.0
